motivo,depart,quant_saved,age,saved_formal,incentive,female,married,highschool_completed,reached_b4goal,bolivia,rem_any,provincia,wealthy,puzzle_ica,foto,rem_motive,peru,branch,marketer,joint,joint_single,dc,highint,rewardint,missing_inc,inc_7d,hyperbolic,missing_savamt,missing_havesaved,missing_savedwhere,missing_savwhynot,missing_satisfied,missing_satisfy,missing_regretspend,saved_asmuch,spent_b4isaved,philippines,country,late_rem_any,log_quant_saved,rem_any_peru,rem_any_phil,rem_any_boli,missing_female,missing_age,missing_highschool_completed,missing_married,missing_saved_formal,missing_inc_7d,missing_wealthy,missing_hyperbolic,missing_saved_asmuch,missing_spent_b4isaved,missing_number_account,ivhquant_saved,logalt_quant_saved,gain_rem,loss_rem,noincentive,rem_no_motive,masterid
"COMPRA DE TERRENO",0,13.0908,28,0,,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,2.6455221,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2665126,2.5726733,0,1,0,1,1246
"OTROS",0,39.2724,0,0,,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.6956663,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,0,1,0,0,2229
"EMERGENCIAS, IMPREVISTOS",0,294.543,0,0,,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,5.6888142,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6.3785748,5.6854591,1,0,0,1,1490
"EVENTOS SOCIALES Y FAMILIARES",0,58.9086,0,0,,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,4.0928202,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4.7692065,4.0761566,1,0,0,1,943
"OTROS",0,78.5448,0,0,,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,4.3763204,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0568566,4.3637962,1,0,0,1,1922
"OTROS",0,39.2724,43,1,,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,0,1,0,1,1931
"EMERGENCIAS, IMPREVISTOS",0,32.727,52,0,,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.5182986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.181581,3.4885058,0,1,0,1,212
"COMPRA DE TERRENO",0,654.54,52,1,,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,6.4854593,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1770806,6.4839478,1,0,0,0,217
"",0,2.284,34,0,,0,1,1,0,0,1,0,1,0,0,0,0,3,3,1,0,0,0,0,0,228.4,0,0,0,0,0,0,0,0,1,1,1,3,1,1.1890622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,1,0,0,0,5328
"EMERGENCIAS, IMPREVISTOS",0,52.3632,46,0,,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,3.9771214,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6514425,3.958395,1,0,0,1,814
"OTROS",0,58.9086,0,0,,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,4.0928202,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4.7692065,4.0761566,1,0,0,1,1639
"EDUCACION",0,39.2724,26,0,,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,3.6956663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,0,0,0,0,228
"EMERGENCIAS, IMPREVISTOS",0,58.9086,0,0,,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,4.0928202,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.7692065,4.0761566,0,0,0,0,1748
"",0,80.23920623046875,27,1,,1,1,1,1,0,1,0,1,0,0,0,0,3,2,0,0,0,1,0,0,91.36,0,0,0,0,1,0,0,0,0,0,1,3,1,4.397398,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0781984,4.3851371,1,0,0,0,3591
"EMERGENCIAS, IMPREVISTOS",0,78.5448,32,0,,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,4.3763204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0568566,4.3637962,0,0,0,0,1632
"",0,46.15233242675781,39,1,,1,1,1,1,0,1,0,0,0,0,0,0,2,15,0,0,0,0,1,0,22.84,1,0,0,0,0,0,0,0,1,1,1,3,1,3.8533835,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.5252118,3.832164,1,0,0,0,4606
"EMERGENCIAS, IMPREVISTOS",0,39.2724,76,0,,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,0,1,0,0,330
"",0,2.284,23,0,,0,0,1,0,0,1,0,1,0,0,0,0,2,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1.1890622,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1.5638802,.83029699,0,1,0,0,4572
"EMERGENCIAS, IMPREVISTOS",0,39.2724,56,0,,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,0,1,0,1,132
"OTROS",0,39.2724,32,0,,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,1,0,0,0,842
"EMERGENCIAS, IMPREVISTOS",0,104.7264,38,0,,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,4.6608548,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.344521,4.6514468,0,1,0,0,379
"",0,2.284,33,0,,1,1,1,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,68.52,0,0,0,0,0,0,0,0,1,0,1,3,0,1.1890622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,0,1,0,0,2811
"EMERGENCIAS, IMPREVISTOS",0,81.8175,70,0,,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,4.4166393,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0976758,4.4046135,0,1,0,1,1392
"OTROS",0,98.181,49,0,,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,4.5969462,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2799859,4.5869145,1,0,0,1,1354
"EMERGENCIAS, IMPREVISTOS",0,39.2724,36,0,,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,1,0,0,1,1285
"",0,2.284,45,1,,1,1,1,0,0,1,0,1,0,0,0,0,2,8,1,0,0,1,0,0,34.26,0,0,0,0,0,0,0,0,1,0,1,3,1,1.1890622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,0,1,0,0,2871
"",0,2.284,46,1,,1,1,1,0,0,1,0,1,0,0,0,0,3,2,1,0,0,0,1,0,11.42,0,0,0,0,0,0,0,0,1,1,1,3,1,1.1890622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,1,0,0,0,10316
"EMERGENCIAS, IMPREVISTOS",0,45.8178,41,0,,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.8462634,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5179391,3.8248909,0,1,0,1,1053
"",0,47.17807760742188,28,0,,0,1,0,1,0,1,0,0,0,0,0,0,3,3,1,0,1,0,0,0,11.42,0,0,0,0,0,0,0,0,1,1,1,3,1,3.8749042,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.5471888,3.8541412,0,1,0,0,5910
"EMERGENCIAS, IMPREVISTOS",0,98.181,32,0,,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,4.5969462,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2799859,4.5869145,1,0,0,0,2422
"MEJORAMIENTO DE VIVIENDA",0,39.2724,29,0,,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,0,1,0,1,2039
"",0,2.284,29,1,,1,1,1,0,0,0,0,1,0,0,0,0,2,8,0,0,0,0,1,0,34.26,0,0,0,0,0,0,0,0,1,1,1,3,0,1.1890622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,0,0,0,0,12185
"EMERGENCIAS, IMPREVISTOS",0,39.2724,53,0,,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,0,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,1,0,0,1,989
"",0,78.996021015625,46,1,,1,0,1,0,0,1,0,1,0,0,0,0,2,8,0,1,0,0,1,0,22.84,0,0,0,0,0,0,0,0,1,0,1,3,1,4.3819771,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0625849,4.369524,1,0,0,0,12579
"",0,2.284,28,1,,1,1,1,0,0,0,0,1,0,0,0,0,2,8,0,0,1,0,0,0,57.1,0,0,0,0,0,0,0,0,1,0,1,3,0,1.1890622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5638802,.83029699,0,0,0,0,7896
"EMERGENCIAS, IMPREVISTOS",0,6.5454,55,0,,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,2.0209382,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5776947,1.8802892,1,0,0,1,200
"OTROS",0,26.1816,56,0,,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.3025403,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9585686,3.2654388,0,1,0,1,55
"EVENTOS SOCIALES Y FAMILIARES",0,65.45400000000001,33,0,,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,4.1965098,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8745532,4.1815004,1,0,0,1,1527
"EMERGENCIAS, IMPREVISTOS",0,39.2724,21,0,,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,0,1,0,1,2660
"EMERGENCIAS, IMPREVISTOS",0,39.2724,39,0,,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,0,1,0,1,2465
"EMERGENCIAS, IMPREVISTOS",0,13.0908,36,0,,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,2.6455221,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2665126,2.5726733,1,0,0,1,2058
"EMERGENCIAS, IMPREVISTOS",0,39.2724,27,0,,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,,0,0,,,,,,,,0,0,0,1,1,3.6956663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.363831,3.6707766,1,0,0,1,344
